Name,Level,School,,Casting Time,Components,Concentration,Source,,,
Acid Splash,Cantrip,Conjuration,,1 action,VS,,phb 211,,,
Blade Ward,Cantrip,Abjuration,,1 action,VS,,phb 218,,,
Booming Blade,Cantrip,Evocation,,1 action,VM,,scag 142,,,
Chill Touch,Cantrip,Necromancy,,1 action,VS,,phb 221,,Random Spell,Level
Control Flames,Cantrip,Transmutation,,1 action,S,,"ee 16, xge 152",,Wall of Fire,4th
Create Bonfire,Cantrip,Conjuration,,1 action,VS,yes,"ee 16, xge 152",,,
Dancing Lights,Cantrip,Evocation,,1 action,VSM,yes,phb 230,,,
Fire Bolt,Cantrip,Evocation,,1 action,VS,,phb 242,,,
Friends,Cantrip,Enchantment,,1 action,SM,yes,phb 244,,,
Frostbite,Cantrip,Evocation,,1 action,VS,,"ee 18, xge 156",,,
Green-Flame Blade,Cantrip,Evocation,,1 action,VM,,scag 143,,,
Gust,Cantrip,Transmutation,,1 action,VS,,"ee 19, xge 157",,,
Infestation,Cantrip,Conjuration,,1 action,VSM,,xge 158,,,
Light,Cantrip,Evocation,,1 action,VM,,phb 255,,,
Lightning Lure,Cantrip,Evocation,,1 action,V,,scag 143,,,
Mage Hand,Cantrip,Conjuration,,1 action,VS,,phb 256,,,
Mending,Cantrip,Transmutation,,1 minute,VSM,,phb 259,,,
Message,Cantrip,Transmutation,,1 action,VSM,,phb 259,,,
Minor Illusion,Cantrip,Illusion,,1 action,SM,,phb 260,,,
Mold Earth,Cantrip,Transmutation,,1 action,S,,"ee 21, xge 162",,,
Poison Spray,Cantrip,Conjuration,,1 action,VS,,phb 266,,,
Prestidigitation,Cantrip,Transmutation,,1 action,VS,,phb 267,,,
Ray of Frost,Cantrip,Evocation,,1 action,VS,,phb 271,,,
Shape Water,Cantrip,Transmutation,,1 action,S,,ee 21,,,
Shocking Grasp,Cantrip,Evocation,,1 action,VS,,phb 275,,,
Sword Burst,Cantrip,Conjuration,,1 action,V,,scag 143,,,
Thunderclap,Cantrip,Evocation,,1 action,S,,"ee 22, xge 168",,,
Toll the Dead,Cantrip,Necromancy,,1 action,VS,,xge 169,,,
True Strike,Cantrip,Divination,,1 action,S,yes,phb 284,,,
Absorb Elements,1st,Abjuration,,1 reaction,S,,"ee 15, xge 150",,,
Alarm,1st,Abjuration,yes,1 minute,VSM,,phb 211,,,
Burning Hands,1st,Evocation,,1 action,VS,,phb 220,,,
Catapult,1st,Transmutation,,1 action,S,,"ee 15, xge 150",,,
Cause Fear,1st,Necromancy,,1 action,V,yes,xge 151,,,
Charm Person,1st,Enchantment,,1 action,VS,,phb 221,,,
Chromatic Orb,1st,Evocation,,1 action,VSMgp,,phb 221,,,
Color Spray,1st,Illusion,,1 action,VSM,,phb 222,,,
Comprehend Languages,1st,Divination,yes,1 action,VSM,,phb 224,,,
Detect Magic,1st,Divination,yes,1 action,VS,yes,phb 231,,,
Disguise Self,1st,Illusion,,1 action,VS,,phb 233,,,
Earth Tremor,1st,Evocation,,1 action,VS,,"ee 17, xge 155",,,
Expeditious Retreat,1st,Transmutation,,1 bonus action,VS,yes,phb 238,,,
False Life,1st,Necromancy,,1 action,VSM,,phb 239,,,
Feather Fall,1st,Transmutation,,1 reaction,VM,,phb 239,,,
Find Familiar,1st,Conjuration,yes,1 hour,VSMgp,,phb 240,,,
Fog Cloud,1st,Conjuration,,1 action,VS,yes,phb 243,,,
Grease,1st,Conjuration,,1 action,VSM,,phb 246,,,
Ice Knife,1st,Conjuration,,1 action,SM,,"ee 19, xge 157",,,
Identify,1st,Divination,yes,1 minute,VSMgp,,phb 252,,,
Illusory Script,1st,Illusion,yes,1 minute,SMgp,,phb 252,,,
Jump,1st,Transmutation,,1 action,VSM,,phb 254,,,
Longstrider,1st,Transmutation,,1 action,VSM,,phb 256,,,
Mage Armor,1st,Abjuration,,1 action,VSM,,phb 256,,,
Magic Missile,1st,Evocation,,1 action,VS,,phb 257,,,
Protection from Evil and Good,1st,Abjuration,,1 action,VSM,yes,phb 270,,,
Ray of Sickness,1st,Necromancy,,1 action,VS,,phb 271,,,
Shield,1st,Abjuration,,1 reaction,VS,,phb 275,,,
Silent Image,1st,Illusion,,1 action,VSM,yes,phb 276,,,
Sleep,1st,Enchantment,,1 action,VSM,,phb 276,,,
Snare,1st,Abjuration,,1 minute,SMgp,,xge 165,,,
Tasha's Hideous Laughter,1st,Enchantment,,1 action,VSM,yes,phb 280,,,
